age,ast_pct,blk_pct,bpm,dbpm,drb_pct,dws,fg3a_per_fga_pct,fta_per_fga_pct,g,lg_id,mp,name,obpm,orb_pct,ows,per,pid,pos,ring,season,stl_pct,team_id,tov_pct,trb_pct,ts_pct,usg_pct,vorp,ws,ws_per_48
31,18.3,0.0,-5.5,3.9,13.5,0.0,.750,.000,3,NBA,19,Dee Brown,-9.4,0.0,-0.1,-4.1,3692,PG,False,1999-00,5.9,TOR,20.0,6.3,.000,12.4,0.0,-0.1,-0.165
32,10.9,0.0,0.3,-0.6,5.7,0.0,.846,.000,3,NBA,54,Dee Brown,0.9,0.0,0.1,14.0,3692,PG,False,2000-01,1.9,ORL,7.1,2.8,.692,11.4,0.0,0.1,.094
23,9.1,3.1,-4.8,1.2,23.1,0.0,.053,.316,3,NBA,44,Chucky Brown,-6.1,7.9,0.0,13.5,3695,SF,False,1991-92,0.0,LAL,4.4,15.2,.439,23.6,0.0,0.0,-0.014
24,2.5,3.1,-1.8,1.8,11.3,0.1,.000,.318,4,NBA,62,Chucky Brown,-3.6,5.8,0.0,14.1,3695,SF,False,1992-93,2.5,NJN,7.4,8.6,.478,20.0,0.0,0.1,.080
26,3.1,0.5,-4.5,0.4,15.9,0.3,.026,.487,21,NBA,326,Chucky Brown,-4.9,7.3,0.1,9.2,3695,SF,True,1994-95,1.4,HOU,11.5,11.7,.509,14.9,-0.2,0.3,.047
27,5.0,0.0,-2.1,0.0,12.9,0.0,.000,.400,8,NBA,168,Chucky Brown,-2.1,4.0,0.3,13.6,3695,PF,False,1995-96,0.9,HOU,7.0,8.3,.614,15.5,0.0,0.4,.109
29,14.8,0.0,-2.7,-1.0,13.0,0.0,.133,.133,4,NBA,50,Chucky Brown,-1.7,2.5,0.0,10.2,3695,SF,False,1997-98,0.0,ATL,11.2,7.7,.504,18.0,0.0,0.1,.067
33,0.0,0.0,-18.9,-2.3,100.0,0.0,,,1,NBA,1,Chucky Brown,-16.6,0.0,0.0,-3.3,3695,SF,False,2001-02,0.0,SAC,,53.5,,0.0,0.0,0.0,.245
23,29.3,0.0,-4.4,0.4,21.0,0.0,.333,.333,3,NBA,21,Scott Brooks,-4.8,0.0,0.0,6.6,3698,PG,False,1988-89,0.0,PHI,12.7,10.6,.363,16.6,0.0,0.0,-0.005
24,22.2,0.0,-4.9,-0.2,7.7,0.0,.368,.474,9,NBA,99,Scott Brooks,-4.8,2.3,-0.1,6.4,3698,PG,False,1989-90,1.6,PHI,23.4,4.8,.457,13.4,-0.1,0.0,-0.020
27,22.8,0.0,-4.1,-1.2,4.8,0.2,.310,.310,12,NBA,197,Scott Brooks,-2.9,0.6,0.0,8.3,3698,PG,False,1992-93,2.4,HOU,21.4,2.9,.492,14.1,-0.1,0.2,.047
