age,avg_dist,fg2_dunk,fg2_pct,fg2_pct_ast,fg2a_pct_fga,fg3_heave,fg3_pct,fg3_pct_ast,fg3_pct_corner,fg3a_heave,fg3a_pct_fga,fg_pct,fg_pct_00_03,fg_pct_03_10,fg_pct_10_16,fg_pct_16_xx,g,lg_id,mp,name,pct_fg2_dunk,pct_fg3a_corner,pct_fga_00_03,pct_fga_03_10,pct_fga_10_16,pct_fga_16_xx,pid,pos,ring,season,team_id
26,2.4,6,.655,.526,1.000,0,,,,0,.000,.655,.727,.400,.000,1.000,8,NBA,126,Etan Thomas,.207,,.759,.172,.034,.034,1372,C,False,2004-05,WAS
27,4.0,0,.400,1.000,1.000,0,,,,0,.000,.400,.333,.000,1.000,,3,NBA,18,Etan Thomas,.000,,.600,.200,.200,.000,1372,C,False,2005-06,WAS
28,3.4,4,.412,1.000,1.000,0,,,,0,.000,.412,.500,.000,1.000,,4,NBA,84,Etan Thomas,.294,,.706,.235,.059,.000,1372,C,False,2006-07,WAS
31,1.7,2,.833,.800,1.000,0,,,,0,.000,.833,.750,1.000,,,2,NBA,17,Etan Thomas,.333,,.667,.333,.000,.000,1372,C,False,2009-10,OKC
32,1.5,0,.000,,1.000,0,,,,0,.000,.000,.000,,,,1,NBA,7,Etan Thomas,.500,,1.000,.000,.000,.000,1372,C,False,2010-11,ATL
29,18.0,0,.000,,1.000,0,,,,0,.000,.000,,,,.000,2,NBA,2,Billy Thomas,.000,,.000,.000,.000,1.000,1369,SF,False,2004-05,NJN
30,19.1,0,.000,,.429,0,.000,,.000,0,.571,.000,.000,,,.000,3,NBA,14,Billy Thomas,.000,.250,.143,.000,.000,.286,1369,SG,False,2005-06,WAS
32,25.0,0,,,.000,0,.500,1.000,,0,1.000,.500,,,,,3,NBA,8,Billy Thomas,.000,.000,.000,.000,.000,.000,1369,SF,False,2007-08,CLE
25,2.0,1,.500,1.000,1.000,0,,,,0,.000,.500,.500,,,,4,NBA,26,Hasheem Thabeet,.500,,1.000,.000,.000,.000,1360,C,False,2012-13,OKC
26,,0,,,,0,,,,0,,,,,,,2,NBA,7,Hasheem Thabeet,,,,,,,1360,C,False,2013-14,OKC
27,15.3,0,.514,.130,.656,0,.491,.593,.333,0,.344,.506,.517,.591,.474,.486,13,NBA,501,Jason Terry,.000,.218,.181,.138,.119,.219,1359,PG,False,2004-05,DAL
28,14.6,9,.493,.311,.726,0,.307,.903,.310,0,.274,.442,.536,.500,.466,.477,22,NBA,844,Jason Terry,.027,.287,.187,.103,.198,.238,1359,PG,False,2005-06,DAL
29,15.3,0,.500,.267,.652,0,.281,.889,.250,1,.348,.424,.600,.556,.333,.500,6,NBA,229,Jason Terry,.000,.250,.217,.098,.163,.174,1359,SG,False,2006-07,DAL
30,16.7,2,.429,.583,.467,0,.438,.929,.300,0,.533,.433,.615,,.125,.429,5,NBA,180,Jason Terry,.033,.313,.217,.000,.133,.117,1359,SG,False,2007-08,DAL
31,18.3,0,.403,.370,.532,0,.373,.818,.467,1,.468,.389,.333,.500,.333,.414,10,NBA,325,Jason Terry,.000,.254,.095,.111,.095,.230,1359,SG,False,2008-09,DAL
