age,and1s,astd_pts,drawn_shooting,fga_blkd,fouls_blocking,fouls_offensive,fouls_shooting,fouls_take,g,lg_id,mp,name,pct_1,pct_2,pct_3,pct_4,pct_5,pid,plus_minus_net,plus_minus_on,pos,ring,season,team_id,tov_bad_pass,tov_lost_ball,tov_other
31,0,0,0,0,0,0,0,0,1,NBA,3,Kris Humphries,,,,100%,,794,2.6,1.8,PF,False,2016-17,ATL,0,0,0
23,0,4,0,0,0,0,0,0,4,NBA,7,Danny Green,,87%,12%,2%,,790,16.6,12.5,SG,False,2010-11,SAS,0,1,0
24,0,33,3,5,3,3,12,0,14,NBA,289,Danny Green,,72%,28%,,,790,24.5,21.4,SG,False,2011-12,SAS,8,3,4
25,1,70,6,8,2,4,27,2,21,NBA,669,Danny Green,,44%,51%,5%,,790,-11.7,3.2,SG,False,2012-13,SAS,9,5,5
26,2,50,6,7,2,1,28,0,23,NBA,529,Danny Green,,70%,28%,2%,,790,2.2,11.3,SG,True,2013-14,SAS,14,4,2
27,1,34,2,4,0,0,3,0,7,NBA,204,Danny Green,,63%,33%,4%,,790,14.1,6.6,SG,False,2014-15,SAS,2,3,0
28,1,14,1,0,0,0,15,0,10,NBA,267,Danny Green,,82%,18%,,,790,5.3,12.4,SG,False,2015-16,SAS,0,4,0
29,4,54,7,2,1,1,18,1,16,NBA,436,Danny Green,,56%,35%,10%,,790,-13.6,-5.4,SG,False,2016-17,SAS,11,3,3
30,0,2,0,2,0,0,3,0,5,NBA,103,Danny Green,,23%,77%,,,790,-23.2,-22.5,SG,False,2017-18,SAS,1,1,0
23,0,0,2,0,,0,2,0,6,NBA,26,Gerald Green,,,100%,,,792,-19.1,-19.0,SG,False,2008-09,DAL,2,0,0
27,0,6,1,1,0,0,6,1,9,NBA,105,Gerald Green,,53%,44%,3%,,792,-15.7,-13.4,SF,False,2012-13,IND,4,1,1
30,1,2,1,1,0,1,6,2,12,NBA,110,Gerald Green,,33%,66%,1%,,792,11.3,14.1,SG,False,2015-16,MIA,0,1,1
31,2,24,3,3,3,0,13,1,13,NBA,192,Gerald Green,,13%,87%,1%,,792,-2.6,-4.8,SF,False,2016-17,BOS,5,1,0
32,1,2,2,2,1,3,12,1,17,NBA,272,Gerald Green,4%,15%,79%,2%,,792,-11.0,-5.6,SG,False,2017-18,HOU,3,3,4
22,1,47,7,2,2,4,17,0,12,NBA,223,Draymond Green,,1%,61%,37%,1%,791,4.1,2.9,SF,False,2012-13,GSW,5,3,4
23,2,45,6,5,0,6,11,4,7,NBA,228,Draymond Green,,1%,32%,68%,,791,28.5,5.3,SF,False,2013-14,GSW,9,2,6
24,7,267,37,15,3,10,38,1,21,NBA,784,Draymond Green,,,,70%,30%,791,19.2,12.7,PF,True,2014-15,GSW,30,11,17
25,9,319,47,19,3,6,45,0,23,NBA,879,Draymond Green,,,,69%,32%,791,12.3,7.6,PF,False,2015-16,GSW,5,43,8
